Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1873.143.peg.1	CDS	O3_1	1942	2	-1	-	1941	Transcriptional regulator, CdaR-family	- none -	 	 
fig|1873.143.peg.2	CDS	O3_1	3016	2168	-1	-	849	putative rRNA methylase	- none -	 	 
fig|1873.143.peg.3	CDS	O3_1	3109	4956	1	+	1848	Thiamine pyrophosphate-requiring protein PA2108	- none -	 	 
fig|1873.143.peg.4	CDS	O3_1	5167	4979	-1	-	189	Small DUF397-containing protein	- none -	 	 
fig|1873.143.peg.5	CDS	O3_1	5961	5158	-3	-	804	Uncharacterized protein with N-terminal Xre-type DNA-binding domain	- none -	 	 
fig|1873.143.peg.6	CDS	O3_1	6156	6509	3	+	354	FIG00816958: hypothetical protein	- none -	 	 
fig|1873.143.peg.7	CDS	O3_1	8738	6522	-2	-	2217	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	- none -	 	 
fig|1873.143.peg.8	CDS	O3_1	8732	8968	2	+	237	hypothetical protein	- none -	 	 
fig|1873.143.peg.9	CDS	O3_1	8972	9145	2	+	174	hypothetical protein	- none -	 	 
fig|1873.143.peg.10	CDS	O3_1	9179	9364	2	+	186	hypothetical protein	- none -	 	 
fig|1873.143.peg.11	CDS	O3_1	10915	9809	-1	-	1107	Protein QmcA (possibly involved in integral membrane quality control)	- none -	 	 
fig|1873.143.peg.12	CDS	O3_1	11385	10921	-3	-	465	Putative activity regulator of membrane protease YbbK	- none -	 	 
fig|1873.143.peg.13	CDS	O3_1	11543	12859	2	+	1317	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	- none -	 	 
fig|1873.143.peg.14	CDS	O3_1	13616	12891	-2	-	726	Uncharacterized protien SCO2557	- none -	 	 
fig|1873.143.peg.15	CDS	O3_1	13640	14434	2	+	795	Uncharacterized protein Rv1486c/MT1533	- none -	 	 
fig|1873.143.peg.16	CDS	O3_1	15290	14511	-2	-	780	Hypothetical NagD-like phosphatase, Actinobacterial subfamily	- none -	 	 
fig|1873.143.peg.17	CDS	O3_1	16353	15325	-3	-	1029	Coproporphyrin ferrochelatase (EC 4.99.1.9)	- none -	 	 
fig|1873.143.peg.18	CDS	O3_1	17695	16478	-1	-	1218	Transposase and inactivated derivatives, IS30 family	- none -	 	 
fig|1873.143.peg.19	CDS	O3_1	18543	17776	-3	-	768	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	Fatty Acid Biosynthesis FASII	 	 
fig|1873.143.peg.20	CDS	O3_1	19284	18580	-3	-	705	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG	- none -	 	 
fig|1873.143.peg.21	CDS	O3_1	19294	19614	1	+	321	hypothetical protein	- none -	 	 
fig|1873.143.peg.22	CDS	O3_1	19728	19943	3	+	216	hypothetical protein	- none -	 	 
fig|1873.143.peg.23	CDS	O3_1	21010	20060	-1	-	951	Aerotolerance protein BatA	- none -	 	 
fig|1873.143.peg.24	CDS	O3_1	21993	21007	-3	-	987	hypothetical protein PA3071	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	 	 
fig|1873.143.peg.25	CDS	O3_1	23099	21990	-2	-	1110	MoxR-like ATPase in aerotolerance operon	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	 	 
fig|1873.143.peg.26	CDS	O3_1	23341	23571	1	+	231	hypothetical protein	- none -	 	 
fig|1873.143.peg.27	CDS	O3_1	23667	24089	3	+	423	transmembrane protein, distant homology with ydbS	Folate biosynthesis cluster	 	 
fig|1873.143.peg.28	CDS	O3_1	24130	25644	1	+	1515	transmembrane protein, distant homology with ydbT	- none -	 	 
fig|1873.143.peg.29	CDS	O3_1	26846	25716	-2	-	1131	Integral membrane protein	- none -	 	 
fig|1873.143.peg.30	CDS	O3_1	26999	27403	2	+	405	FIG00815173: hypothetical protein	- none -	 	 
fig|1873.143.peg.31	CDS	O3_1	27400	28230	1	+	831	MBL-fold metallo-hydrolase superfamily	- none -	 	 
fig|1873.143.peg.32	CDS	O3_1	29204	28269	-2	-	936	FIG00814722: hypothetical protein	- none -	 	 
fig|1873.143.peg.33	CDS	O3_1	30569	29346	-2	-	1224	Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family	Purine Utilization	 	 
fig|1873.143.peg.34	CDS	O3_1	30688	31239	1	+	552	Periplasmic aromatic aldehyde oxidoreductase, iron-sulfur subunit YagT	- none -	 	 
fig|1873.143.peg.35	CDS	O3_1	31226	32221	2	+	996	Periplasmic aromatic aldehyde oxidoreductase, FAD binding subunit YagS	Purine Utilization	 	 
fig|1873.143.peg.36	CDS	O3_1	32218	34449	1	+	2232	Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR	- none -	 	 
fig|1873.143.peg.37	CDS	O3_1	37396	35345	-1	-	2052	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnB	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	 	 
fig|1873.143.peg.38	CDS	O3_1	37531	39012	1	+	1482	Xaa-Pro aminopeptidase (EC 3.4.11.9)	Aminopeptidases (EC 3.4.11.-)	 	 
fig|1873.143.peg.39	CDS	O3_1	39314	39910	2	+	597	hypothetical protein	- none -	 	 
fig|1873.143.peg.40	CDS	O3_1	40175	40633	2	+	459	FIG00814692: hypothetical protein	- none -	 	 
fig|1873.143.peg.41	CDS	O3_1	41196	40996	-3	-	201	hypothetical protein	- none -	 	 
fig|1873.143.peg.42	CDS	O3_1	41707	41372	-1	-	336	Neopullulanase (EC 3.2.1.135) / Maltodextrin glucosidase (EC 3.2.1.20)	Maltose and Maltodextrin Utilization; <br>Maltose and Maltodextrin Utilization	 	 
fig|1873.143.peg.43	CDS	O3_1	41890	42069	1	+	180	hypothetical protein	- none -	 	 
fig|1873.143.peg.44	CDS	O3_1	42526	42747	1	+	222	hypothetical protein	- none -	 	 
fig|1873.143.peg.45	CDS	O3_1	43114	42779	-1	-	336	hypothetical protein	- none -	 	 
fig|1873.143.peg.46	CDS	O3_1	43390	43241	-1	-	150	hypothetical protein	- none -	 	 
fig|1873.143.peg.47	CDS	O3_1	44247	43543	-3	-	705	putative secreted protein	- none -	 	 
fig|1873.143.peg.48	CDS	O3_1	45025	44345	-1	-	681	hypothetical protein	- none -	 	 
fig|1873.143.peg.49	CDS	O3_1	50957	45459	-2	-	5499	Neopullulanase (EC 3.2.1.135) / Maltodextrin glucosidase (EC 3.2.1.20)	Maltose and Maltodextrin Utilization; <br>Maltose and Maltodextrin Utilization	 	 
fig|1873.143.peg.50	CDS	O3_1	51808	51104	-1	-	705	hypothetical protein	- none -	 	 
fig|1873.143.peg.51	CDS	O3_1	52198	51902	-1	-	297	hypothetical protein	- none -	 	 
fig|1873.143.peg.52	CDS	O3_1	52191	52556	3	+	366	hypothetical protein	- none -	 	 
fig|1873.143.peg.53	CDS	O3_1	53078	52689	-2	-	390	hypothetical protein	- none -	 	 
fig|1873.143.peg.54	CDS	O3_1	53775	53116	-3	-	660	hypothetical protein Rv1118c	- none -	 	 
fig|1873.143.peg.55	CDS	O3_1	53795	53986	2	+	192	hypothetical protein	- none -	 	 
fig|1873.143.peg.56	CDS	O3_1	54382	55038	1	+	657	hypothetical protein	- none -	 	 
fig|1873.143.peg.57	CDS	O3_1	55758	55102	-3	-	657	DedA protein	DedA family of inner membrane proteins; <br>Uptake of selenate and selenite	 	 
fig|1873.143.peg.58	CDS	O3_1	56055	58901	3	+	2847	Aconitate hydratase (EC 4.2.1.3)	TCA Cycle	 	 
fig|1873.143.peg.59	CDS	O3_1	59017	60087	1	+	1071	hypothetical protein	- none -	 	 
fig|1873.143.peg.60	CDS	O3_1	60768	60157	-3	-	612	Small Ras-like GTPase, component of G-protein-coupled receptor (GPCR) system	- none -	 	 
fig|1873.143.peg.61	CDS	O3_1	61135	60749	-1	-	387	DUF742 protein, component of G-protein-coupled receptor (GPCR) system	- none -	 	 
fig|1873.143.peg.62	CDS	O3_1	61563	61141	-3	-	423	Roadblock/LC7 protein, putative GTPase-activating (GAP) component of G-protein-coupled receptor (GPCR) system	- none -	 	 
fig|1873.143.peg.63	CDS	O3_1	64241	61653	-2	-	2589	Putative sensor and ATPase, component of G-protein-coupled receptor (GPCR) system	- none -	 	 
fig|1873.143.peg.64	CDS	O3_1	66012	64366	-3	-	1647	hypothetical protein	- none -	 	 
fig|1873.143.peg.65	CDS	O3_1	66920	66009	-2	-	912	hypothetical protein	- none -	 	 
fig|1873.143.peg.66	CDS	O3_1	68308	66917	-1	-	1392	Cytochrome P450	- none -	 	 
fig|1873.143.peg.67	CDS	O3_1	68372	68731	2	+	360	hypothetical protein	- none -	 	 
fig|1873.143.peg.68	CDS	O3_1	68710	68958	1	+	249	Uncharacterized protein Mb0922c	- none -	 	 
fig|1873.143.peg.69	CDS	O3_1	69940	69005	-1	-	936	RIO1/ZK632.3/MJ0444 family protein	- none -	 	 
fig|1873.143.peg.70	CDS	O3_1	70815	70171	-3	-	645	Pyrimidine 5&#39;-nucleotidase YjjG (EC 3.1.3.5)	- none -	 	 
fig|1873.143.peg.71	CDS	O3_1	71723	70881	-2	-	843	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase	- none -	 	 
fig|1873.143.peg.72	CDS	O3_1	71859	72431	3	+	573	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.143.peg.73	CDS	O3_1	72486	73247	3	+	762	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	 	 
fig|1873.143.peg.74	CDS	O3_1	73244	73873	2	+	630	G/U mismatch-specific uracil DNA glycosylase (EC 3.2.2.28)	- none -	 	 
fig|1873.143.peg.75	CDS	O3_1	75877	73889	-1	-	1989	Efflux ABC transporter, permease/ATP-binding protein	- none -	 	 
fig|1873.143.peg.76	CDS	O3_1	76746	75979	-3	-	768	Enoyl-CoA hydratase (EC 4.2.1.17)	Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>Fatty acid metabolism cluster; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism; <br>Valine degradation	 	 
fig|1873.143.peg.77	CDS	O3_1	77020	76793	-1	-	228	Putative transcriptional regulatory protein	- none -	 	 
fig|1873.143.peg.78	CDS	O3_1	77186	77836	2	+	651	hypothetical protein	- none -	 	 
fig|1873.143.peg.79	CDS	O3_1	79519	77915	-1	-	1605	Bis-ABC ATPase SCO1840	- none -	 	 
fig|1873.143.peg.80	CDS	O3_1	79783	80697	1	+	915	YpfJ protein, zinc metalloprotease superfamily	Broadly distributed proteins not in subsystems	 	 
fig|1873.143.peg.81	CDS	O3_1	81091	80852	-1	-	240	hypothetical protein	- none -	 	 
fig|1873.143.peg.82	CDS	O3_1	81111	81272	3	+	162	hypothetical protein	- none -	 	 
fig|1873.143.peg.83	CDS	O3_1	81942	81319	-3	-	624	Transporter, LysE family	- none -	 	 
fig|1873.143.peg.84	CDS	O3_1	81990	82115	3	+	126	hypothetical protein	- none -	 	 
fig|1873.143.peg.85	CDS	O3_1	82790	82329	-2	-	462	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	Iron-sulfur cluster assembly	 	 
fig|1873.143.peg.86	CDS	O3_1	83263	82787	-1	-	477	Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	Iron-sulfur cluster assembly	 	 
fig|1873.143.peg.87	CDS	O3_1	84567	83263	-3	-	1305	Cysteine desulfurase (EC 2.8.1.7) => SufS	- none -	 	 
fig|1873.143.peg.88	CDS	O3_1	85361	84588	-2	-	774	Iron-sulfur cluster assembly ATPase protein SufC	Iron-sulfur cluster assembly	 	 
fig|1873.143.peg.89	CDS	O3_1	85687	85361	-1	-	327	Ferredoxin, 2Fe-2S	Alanine biosynthesis; <br>Iron-sulfur cluster assembly; <br>Soluble cytochromes and functionally related electron carriers	 	 
fig|1873.143.peg.90	CDS	O3_1	86829	85687	-3	-	1143	Iron-sulfur cluster assembly protein SufD	Iron-sulfur cluster assembly	 	 
fig|1873.143.peg.91	CDS	O3_1	88352	86922	-2	-	1431	Iron-sulfur cluster assembly protein SufB	Iron-sulfur cluster assembly	 	 
fig|1873.143.peg.92	CDS	O3_1	89126	88353	-2	-	774	Iron-sulfur cluster regulator SufR	Iron-sulfur cluster assembly	 	 
fig|1873.143.peg.93	CDS	O3_1	89243	90184	2	+	942	Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA	Biogenesis of cytochrome c oxidases	 	 
fig|1873.143.peg.94	CDS	O3_1	91162	90239	-1	-	924	hypothetical protein	- none -	 	 
fig|1873.143.peg.95	CDS	O3_1	91512	91177	-3	-	336	hypothetical protein	- none -	 	 
fig|1873.143.peg.96	CDS	O3_1	92777	91839	-2	-	939	Heme O synthase, protoheme IX farnesyltransferase, COX10-CtaB	- none -	 	 
fig|1873.143.peg.97	CDS	O3_1	93044	95182	2	+	2139	Transketolase (EC 2.2.1.1)	Pentose phosphate pathway	 	 
fig|1873.143.peg.98	CDS	O3_1	95198	96376	2	+	1179	Transaldolase (EC 2.2.1.2)	Pentose phosphate pathway	 	 
fig|1873.143.peg.99	CDS	O3_1	96450	98099	3	+	1650	Glucose-6-phosphate isomerase (EC 5.3.1.9)	Glycolysis and Gluconeogenesis	 	 
fig|1873.143.peg.100	CDS	O3_1	98111	99652	2	+	1542	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	Entner-Doudoroff Pathway; <br>Pentose phosphate pathway	 	 
fig|1873.143.peg.101	CDS	O3_1	99649	100665	1	+	1017	OpcA, an allosteric effector of glucose-6-phosphate dehydrogenase, actinobacterial	Entner-Doudoroff Pathway	 	 
fig|1873.143.peg.102	CDS	O3_1	100871	101641	2	+	771	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	Entner-Doudoroff Pathway; <br>Pentose phosphate pathway	 	 
fig|1873.143.peg.103	CDS	O3_1	102115	101771	-1	-	345	hypothetical protein	- none -	 	 
fig|1873.143.peg.104	CDS	O3_1	102516	102256	-3	-	261	Protein translocase membrane subunit SecG	- none -	 	 
fig|1873.143.peg.105	CDS	O3_1	103403	102612	-2	-	792	Triosephosphate isomerase (EC 5.3.1.1)	Glycolysis and Gluconeogenesis	 	 
fig|1873.143.peg.106	CDS	O3_1	104603	103404	-2	-	1200	Phosphoglycerate kinase (EC 2.7.2.3)	Entner-Doudoroff Pathway; <br>Glycolysis and Gluconeogenesis	 	 
fig|1873.143.peg.107	CDS	O3_1	105604	104600	-1	-	1005	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Entner-Doudoroff Pathway; <br>Glycolysis and Gluconeogenesis; <br>Pyridoxin (Vitamin B6) Biosynthesis	 	 
fig|1873.143.peg.108	CDS	O3_1	106848	105868	-3	-	981	Sporulation transcription regulator WhiA	- none -	 	 
fig|1873.143.peg.109	CDS	O3_1	107910	106903	-3	-	1008	FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like	- none -	 	 
fig|1873.143.peg.110	CDS	O3_1	108836	107907	-2	-	930	RNase adapter protein RapZ	- none -	 	 
fig|1873.143.peg.111	CDS	O3_1	109011	108898	-3	-	114	hypothetical protein	- none -	 	 
fig|1873.143.peg.112	CDS	O3_1	109063	110916	1	+	1854	ATP-dependent DNA helicase RecQ	DNA repair, bacterial RecFOR pathway	 	 
fig|1873.143.peg.113	CDS	O3_1	111664	111011	-1	-	654	hypothetical protein	- none -	 	 
fig|1873.143.peg.114	CDS	O3_1	114252	112192	-3	-	2061	Excinuclease ABC subunit C	DNA repair, UvrABC system	 	 
fig|1873.143.peg.115	CDS	O3_1	114892	114410	-1	-	483	Rieske (2Fe-2S) domain protein	- none -	 	 
fig|1873.143.peg.116	CDS	O3_1	118122	115177	-3	-	2946	Excinuclease ABC subunit A	DNA repair, UvrABC system	 	 
fig|1873.143.peg.117	CDS	O3_1	119360	118290	-2	-	1071	Probable GTPase related to EngC	- none -	 	 
fig|1873.143.peg.118	CDS	O3_1	119359	119529	1	+	171	hypothetical protein	- none -	 	 
fig|1873.143.peg.119	CDS	O3_1	119539	120255	1	+	717	Maleylpyruvate isomerase, mycothiol-dependent (EC 5.2.1.4)	- none -	 	 
fig|1873.143.peg.120	CDS	O3_1	120264	120917	3	+	654	MBL-fold metallo-hydrolase superfamily	- none -	 	 
fig|1873.143.peg.121	CDS	O3_1	121536	120928	-3	-	609	DedA-like protein	- none -	 	 
fig|1873.143.peg.122	CDS	O3_1	122320	121637	-1	-	684	Mlr4229 protein	- none -	 	 
fig|1873.143.peg.123	CDS	O3_1	122339	122491	2	+	153	hypothetical protein	- none -	 	 
fig|1873.143.peg.124	CDS	O3_1	122506	122709	1	+	204	Cold shock protein of CSP family	- none -	 	 
fig|1873.143.peg.125	CDS	O3_1	124032	122758	-3	-	1275	hypothetical protein	- none -	 	 
fig|1873.143.peg.126	CDS	O3_1	124604	124029	-2	-	576	Putative DNA-binding protein	- none -	 	 
fig|1873.143.peg.127	CDS	O3_1	125594	124728	-2	-	867	hypothetical protein	- none -	 	 
fig|1873.143.peg.128	CDS	O3_1	126496	125939	-1	-	558	Transcriptional regulator, MarR family	- none -	 	 
fig|1873.143.peg.129	CDS	O3_1	126564	128708	3	+	2145	transporter, MMPL family	- none -	 	 
fig|1873.143.peg.130	CDS	O3_1	129650	128775	-2	-	876	hypothetical protein formerly called flagellar hook-length control protein FliK	- none -	 	 
fig|1873.143.peg.131	CDS	O3_1	131102	129684	-2	-	1419	hypothetical protein	- none -	 	 
fig|1873.143.peg.132	CDS	O3_1	131236	133104	1	+	1869	GTP-binding protein TypA/BipA	- none -	 	 
fig|1873.143.peg.133	CDS	O3_1	133236	134096	3	+	861	Beta-lactamase class A-like and penicillin binding proteins (PBPs) superfamily	- none -	 	 
fig|1873.143.peg.134	CDS	O3_1	134238	134951	3	+	714	hypothetical protein	- none -	 	 
fig|1873.143.peg.135	CDS	O3_1	135717	134920	-3	-	798	Protein tyrosine phosphatase (EC 3.1.3.48)	- none -	 	 
fig|1873.143.peg.136	CDS	O3_1	135760	136857	1	+	1098	L-alanine-DL-glutamate epimerase (EC 5.1.1.n1)	- none -	 	 
fig|1873.143.peg.137	CDS	O3_1	136916	137833	2	+	918	hypothetical protein	- none -	 	 
fig|1873.143.peg.138	CDS	O3_1	138871	137873	-1	-	999	Integral membrane protein TerC	- none -	 	 
fig|1873.143.peg.139	CDS	O3_1	140274	139210	-3	-	1065	Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1) / Ribosylnicotinamide kinase (EC 2.7.1.22)	NAD and NADP cofactor biosynthesis global; <br>NAD and NADP cofactor biosynthesis global	 	 
fig|1873.143.peg.140	CDS	O3_1	141047	140391	-2	-	657	Ribosyl nicotinamide transporter, PnuC-like	NAD and NADP cofactor biosynthesis global	 	 
fig|1873.143.peg.141	CDS	O3_1	141142	141435	1	+	294	Antibiotic biosynthesis monooxygenase	CBSS-1085.1.peg.1363	 	 
fig|1873.143.peg.142	CDS	O3_1	142441	141587	-1	-	855	Uncharacterized protein with N-terminal Xre-type DNA-binding domain	- none -	 	 
fig|1873.143.peg.143	CDS	O3_1	144711	142603	-3	-	2109	Excinuclease ABC subunit B	DNA repair, UvrABC system	 	 
fig|1873.143.peg.144	CDS	O3_1	144790	145344	1	+	555	hypothetical protein	- none -	 	 
fig|1873.143.peg.145	CDS	O3_1	145451	146881	2	+	1431	hypothetical protein	- none -	 	 
fig|1873.143.peg.146	CDS	O3_1	148057	146885	-1	-	1173	Dephospho-CoA kinase (EC 2.7.1.24)	Coenzyme A Biosynthesis	 	 
fig|1873.143.peg.147	CDS	O3_1	149734	148238	-1	-	1497	SSU ribosomal protein S1p	Ribosome SSU bacterial	 	 
fig|1873.143.peg.148	CDS	O3_1	150148	150951	1	+	804	SAM-dependent methyltransferase	- none -	 	 
fig|1873.143.peg.149	CDS	O3_1	150995	151243	2	+	249	hypothetical protein	- none -	 	 
fig|1873.143.peg.150	CDS	O3_1	151290	151511	3	+	222	Uncharacterized protein RSP_3230	- none -	 	 
fig|1873.143.peg.151	CDS	O3_1	151498	151932	1	+	435	Putative DNA-binding protein	- none -	 	 
fig|1873.143.peg.152	CDS	O3_1	154678	152024	-1	-	2655	DNA polymerase I (EC 2.7.7.7)	DNA Repair Base Excision	 	 
