Gene,TTA
BFMPOHDH_02507 hypothetical protein,7
BFMPOHDH_00642 hypothetical protein,6
BFMPOHDH_05253 hypothetical protein,5
BFMPOHDH_01217 hypothetical protein,3
BFMPOHDH_02526 hypothetical protein,3
BFMPOHDH_00030 hypothetical protein,2
BFMPOHDH_00032 hypothetical protein,2
BFMPOHDH_00726 1-deoxy-D-xylulose-5-phosphate synthase,2
BFMPOHDH_02113 Cardiolipin synthase B,2
BFMPOHDH_02370 Tyrosine recombinase XerC,2
BFMPOHDH_02466 hypothetical protein,2
BFMPOHDH_02474 IS3 family transposase ISPst4,2
BFMPOHDH_02505 Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,2
BFMPOHDH_02508 hypothetical protein,2
BFMPOHDH_02525 hypothetical protein,2
BFMPOHDH_02538 hypothetical protein,2
BFMPOHDH_03264 Tn3 family transposase ISXc4,2
BFMPOHDH_04316 hypothetical protein,2
BFMPOHDH_04627 hypothetical protein,2
BFMPOHDH_04629 Type-1 restriction enzyme EcoKI specificity protein,2
BFMPOHDH_04864 hypothetical protein,2
BFMPOHDH_04884 hypothetical protein,2
BFMPOHDH_05721 hypothetical protein,2
BFMPOHDH_06320 hypothetical protein,2
BFMPOHDH_06324 hypothetical protein,2
BFMPOHDH_06351 hypothetical protein,2
BFMPOHDH_06366 hypothetical protein,2
BFMPOHDH_00021 hypothetical protein,1
BFMPOHDH_00022 hypothetical protein,1
BFMPOHDH_00029 hypothetical protein,1
BFMPOHDH_00095 FHA domain-containing protein FhaB,1
BFMPOHDH_00231 Anaerobic sulfatase-maturating enzyme,1
BFMPOHDH_00289 putative glycosyl hydrolase,1
BFMPOHDH_00301 Arginine--tRNA ligase,1
BFMPOHDH_00453 ATP-dependent RNA helicase SrmB,1
BFMPOHDH_00463 Thymidylate kinase,1
BFMPOHDH_00469 hypothetical protein,1
BFMPOHDH_00583 hypothetical protein,1
BFMPOHDH_00631 hypothetical protein,1
BFMPOHDH_00634 hypothetical protein,1
BFMPOHDH_00648 hypothetical protein,1
BFMPOHDH_00649 hypothetical protein,1
BFMPOHDH_00651 hypothetical protein,1
BFMPOHDH_00652 hypothetical protein,1
BFMPOHDH_00654 Modification methylase HhaI,1
BFMPOHDH_00657 hypothetical protein,1
BFMPOHDH_00675 hypothetical protein,1
BFMPOHDH_00685 hypothetical protein,1
BFMPOHDH_00689 IS701 family transposase ISSav4,1
BFMPOHDH_00702 hypothetical protein,1
BFMPOHDH_00709 hypothetical protein,1
BFMPOHDH_00712 F420-dependent glucose-6-phosphate dehydrogenase 1,1
BFMPOHDH_00714 Chondramide synthase cmdD,1
BFMPOHDH_00718 Glutamate mutase sigma subunit,1
BFMPOHDH_00725 Enterobactin exporter EntS,1
BFMPOHDH_00751 Surfactin synthase subunit 2,1
BFMPOHDH_00766 NAD(P)H-quinone oxidoreductase subunit 3,1
BFMPOHDH_00774 hypothetical protein,1
BFMPOHDH_00828 Molybdopterin molybdenumtransferase 1,1
BFMPOHDH_00899 Serine protease inhibitor,1
BFMPOHDH_00997 hypothetical protein,1
BFMPOHDH_01059 Acetyl-coenzyme A synthetase,1
BFMPOHDH_01079 hypothetical protein,1
BFMPOHDH_01085 hypothetical protein,1
BFMPOHDH_01133 Putative prophage phiRv2 integrase,1
BFMPOHDH_01144 Shikimate kinase,1
BFMPOHDH_01155 hypothetical protein,1
BFMPOHDH_01186 hypothetical protein,1
BFMPOHDH_01193 hypothetical protein,1
BFMPOHDH_01243 Ferredoxin--NADP reductase,1
BFMPOHDH_01291 hypothetical protein,1
BFMPOHDH_01295 hypothetical protein,1
BFMPOHDH_01330 hypothetical protein,1
BFMPOHDH_01343 hypothetical protein,1
BFMPOHDH_01344 hypothetical protein,1
BFMPOHDH_01345 Serine/threonine-protein kinase PknD,1
BFMPOHDH_01353 hypothetical protein,1
BFMPOHDH_01402 hypothetical protein,1
BFMPOHDH_01777 23S rRNA (uracil-C(5))-methyltransferase RlmCD,1
BFMPOHDH_01783 hypothetical protein,1
BFMPOHDH_01796 Ribonuclease D,1
BFMPOHDH_01831 hypothetical protein,1
BFMPOHDH_01861 Vitamin B12 import ATP-binding protein BtuD,1
BFMPOHDH_01882 Xylulose-5-phosphate phosphoketolase,1
BFMPOHDH_01891 hypothetical protein,1
BFMPOHDH_01941 hypothetical protein,1
"BFMPOHDH_02039 1,4-alpha-glucan branching enzyme GlgB",1
BFMPOHDH_02276 Orotidine 5'-phosphate decarboxylase,1
BFMPOHDH_02330 hypothetical protein,1
BFMPOHDH_02341 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA,1
BFMPOHDH_02368 hypothetical protein,1
BFMPOHDH_02379 hypothetical protein,1
BFMPOHDH_02392 hypothetical protein,1
BFMPOHDH_02395 Putative multidrug resistance protein MdtD,1
BFMPOHDH_02399 DNA ligase C,1
BFMPOHDH_02416 hypothetical protein,1
BFMPOHDH_02420 hypothetical protein,1
BFMPOHDH_02424 hypothetical protein,1
BFMPOHDH_02493 hypothetical protein,1
BFMPOHDH_02506 hypothetical protein,1
BFMPOHDH_02527 hypothetical protein,1
BFMPOHDH_02540 hypothetical protein,1
BFMPOHDH_02567 Enterobactin exporter EntS,1
BFMPOHDH_02568 hypothetical protein,1
BFMPOHDH_02849 hypothetical protein,1
BFMPOHDH_02916 Melibiose/raffinose/stachyose import permease protein MelD,1
BFMPOHDH_02945 Rifampicin monooxygenase,1
BFMPOHDH_02968 hypothetical protein,1
BFMPOHDH_03013 hypothetical protein,1
BFMPOHDH_03043 hypothetical protein,1
BFMPOHDH_03046 IS110 family transposase IS117,1
BFMPOHDH_03058 HTH-type transcriptional regulator MalT,1
BFMPOHDH_03108 hypothetical protein,1
BFMPOHDH_03111 Linear gramicidin synthase subunit D,1
BFMPOHDH_03134 Ribose import permease protein RbsC,1
BFMPOHDH_03286 Glycerophosphodiester phosphodiesterase,1
BFMPOHDH_03326 Flavohemoprotein,1
BFMPOHDH_03343 hypothetical protein,1
BFMPOHDH_03502 hypothetical protein,1
BFMPOHDH_03584 Tyrocidine synthase 3,1
BFMPOHDH_03658 hypothetical protein,1
BFMPOHDH_03668 hypothetical protein,1
BFMPOHDH_03762 hypothetical protein,1
BFMPOHDH_03797 Putative fluoride ion transporter CrcB,1
BFMPOHDH_03818 hypothetical protein,1
BFMPOHDH_03941 HTH-type transcriptional activator RhaR,1
BFMPOHDH_03967 UDP-N-acetyl-D-glucosamine 6-dehydrogenase,1
BFMPOHDH_03995 hypothetical protein,1
BFMPOHDH_03997 3-oxoacyl-[acyl-carrier-protein] reductase FabG,1
BFMPOHDH_04007 hypothetical protein,1
BFMPOHDH_04040 hypothetical protein,1
BFMPOHDH_04084 Tyrocidine synthase 3,1
BFMPOHDH_04194 Isoniazid-induced protein IniA,1
BFMPOHDH_04195 Isoniazid-induced protein IniC,1
BFMPOHDH_04210 hypothetical protein,1
BFMPOHDH_04219 hypothetical protein,1
BFMPOHDH_04255 hypothetical protein,1
BFMPOHDH_04257 hypothetical protein,1
BFMPOHDH_04305 hypothetical protein,1
BFMPOHDH_04317 hypothetical protein,1
BFMPOHDH_04323 hypothetical protein,1
BFMPOHDH_04330 Tyrocidine synthase 3,1
BFMPOHDH_04365 hypothetical protein,1
BFMPOHDH_04700 Ribosomal RNA small subunit methyltransferase H,1
BFMPOHDH_04741 hypothetical protein,1
BFMPOHDH_04846 hypothetical protein,1
BFMPOHDH_04851 hypothetical protein,1
BFMPOHDH_04879 Glycolipid sulfotransferase,1
BFMPOHDH_04885 hypothetical protein,1
BFMPOHDH_04887 putative protein YyaP,1
BFMPOHDH_04897 hypothetical protein,1
BFMPOHDH_04921 1-deoxy-D-xylulose-5-phosphate synthase,1
BFMPOHDH_04928 hypothetical protein,1
BFMPOHDH_05048 hypothetical protein,1
BFMPOHDH_05058 Crotonobetainyl-CoA reductase,1
BFMPOHDH_05118 putative zinc-binding alcohol dehydrogenase,1
BFMPOHDH_05239 Cobyric acid synthase,1
BFMPOHDH_05245 hypothetical protein,1
BFMPOHDH_05249 hypothetical protein,1
BFMPOHDH_05316 hypothetical protein,1
BFMPOHDH_05326 Transcriptional regulator FurA,1
BFMPOHDH_05485 hypothetical protein,1
BFMPOHDH_05527 hypothetical protein,1
BFMPOHDH_05629 Vitamin B12 import ATP-binding protein BtuD,1
BFMPOHDH_05700 hypothetical protein,1
BFMPOHDH_05742 Beta-peptidyl aminopeptidase BapA,1
BFMPOHDH_05803 hypothetical protein,1
BFMPOHDH_05949 UDP-N-acetylenolpyruvoylglucosamine reductase,1
BFMPOHDH_06003 Putative transport protein,1
BFMPOHDH_06023 Mycothiol acetyltransferase,1
BFMPOHDH_06062 Crotonyl-CoA hydratase,1
BFMPOHDH_06317 hypothetical protein,1
BFMPOHDH_06321 hypothetical protein,1
BFMPOHDH_06322 hypothetical protein,1
BFMPOHDH_06331 hypothetical protein,1
BFMPOHDH_06341 hypothetical protein,1
BFMPOHDH_06349 IS701 family transposase ISSav4,1
BFMPOHDH_06350 hypothetical protein,1
BFMPOHDH_06354 hypothetical protein,1
BFMPOHDH_06376 hypothetical protein,1
BFMPOHDH_06381 hypothetical protein,1
BFMPOHDH_06403 hypothetical protein,1
BFMPOHDH_06407 hypothetical protein,1
BFMPOHDH_06426 hypothetical protein,1
BFMPOHDH_06429 hypothetical protein,1
BFMPOHDH_06439 hypothetical protein,1
BFMPOHDH_06441 hypothetical protein,1
BFMPOHDH_06451 hypothetical protein,1
BFMPOHDH_06454 hypothetical protein,1
BFMPOHDH_06462 hypothetical protein,1
BFMPOHDH_06475 hypothetical protein,1
