Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1873.144.peg.1	CDS	PH63_1	1	1839	1	+	1839	Chromosomal replication initiator protein DnaA	DNA replication cluster 1	 	 
fig|1873.144.peg.2	CDS	PH63_1	2680	3813	1	+	1134	DNA polymerase III beta subunit (EC 2.7.7.7)	DNA replication cluster 1	 	 
fig|1873.144.peg.3	CDS	PH63_1	3855	4727	3	+	873	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	D-gluconate and ketogluconates metabolism; <br>Pentose phosphate pathway	 	 
fig|1873.144.peg.4	CDS	PH63_1	4745	5878	2	+	1134	DNA recombination and repair protein RecF	DNA repair, bacterial RecFOR pathway; <br>DNA replication cluster 1	 	 
fig|1873.144.peg.5	CDS	PH63_1	5868	6482	3	+	615	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	DNA replication cluster 1	 	 
fig|1873.144.peg.6	CDS	PH63_1	6599	7036	2	+	438	Organic hydroperoxide resistance transcriptional regulator	CBSS-269482.1.peg.1294; <br>Oxidative stress	 	 
fig|1873.144.peg.7	CDS	PH63_1	7575	7021	-3	-	555	hypothetical protein	- none -	 	 
fig|1873.144.peg.8	CDS	PH63_1	8084	10030	2	+	1947	DNA gyrase subunit B (EC 5.99.1.3)	DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones	 	 
fig|1873.144.peg.9	CDS	PH63_1	10161	12680	3	+	2520	DNA gyrase subunit A (EC 5.99.1.3)	DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones	 	 
fig|1873.144.peg.10	CDS	PH63_1	12685	13596	1	+	912	putative membrane protein	- none -	 	 
fig|1873.144.peg.11	CDS	PH63_1	13923	14051	3	+	129	Uncharacterized membrane protein Ndas_5239	- none -	 	 
fig|1873.144.peg.12	CDS	PH63_1	15336	14224	-3	-	1113	hypothetical protein	- none -	 	 
fig|1873.144.peg.13	CDS	PH63_1	15578	15372	-2	-	207	hypothetical protein	- none -	 	 
fig|1873.144.peg.14	CDS	PH63_1	17323	15578	-1	-	1746	hypothetical protein	- none -	 	 
fig|1873.144.peg.15	CDS	PH63_1	17541	17320	-3	-	222	hypothetical protein	- none -	 	 
fig|1873.144.peg.16	CDS	PH63_1	17984	17547	-2	-	438	hypothetical protein	- none -	 	 
fig|1873.144.peg.17	CDS	PH63_1	18757	17981	-1	-	777	hypothetical protein	- none -	 	 
fig|1873.144.peg.18	CDS	PH63_1	19007	18744	-2	-	264	spread protein	- none -	 	 
fig|1873.144.peg.19	CDS	PH63_1	19258	19004	-1	-	255	hypothetical protein	- none -	 	 
fig|1873.144.peg.20	CDS	PH63_1	19443	19255	-3	-	189	hypothetical protein	- none -	 	 
fig|1873.144.peg.21	CDS	PH63_1	19786	19478	-1	-	309	spread protein	- none -	 	 
fig|1873.144.peg.22	CDS	PH63_1	21438	19783	-3	-	1656	Transfer protein traSA	- none -	 	 
fig|1873.144.peg.23	CDS	PH63_1	21907	21692	-1	-	216	hypothetical protein	- none -	 	 
fig|1873.144.peg.24	CDS	PH63_1	22122	21907	-3	-	216	hypothetical protein	- none -	 	 
fig|1873.144.peg.25	CDS	PH63_1	22520	22122	-2	-	399	hypothetical protein	- none -	 	 
fig|1873.144.peg.26	CDS	PH63_1	22724	23509	2	+	786	hypothetical protein	- none -	 	 
fig|1873.144.peg.27	CDS	PH63_1	23518	24165	1	+	648	hypothetical protein	- none -	 	 
fig|1873.144.peg.28	CDS	PH63_1	26202	25072	-3	-	1131	hypothetical protein	- none -	 	 
fig|1873.144.peg.29	CDS	PH63_1	28070	27108	-2	-	963	hypothetical protein	- none -	 	 
fig|1873.144.peg.30	CDS	PH63_1	29059	28421	-1	-	639	hypothetical protein	- none -	 	 
fig|1873.144.peg.31	CDS	PH63_1	29811	29056	-3	-	756	Haloacid dehalogenase-like hydrolase	- none -	 	 
fig|1873.144.peg.32	CDS	PH63_1	31135	29945	-1	-	1191	NADH dehydrogenase (EC 1.6.99.3)	Respiratory dehydrogenases 1; <br>Riboflavin synthesis cluster	 	 
fig|1873.144.peg.33	CDS	PH63_1	32172	31228	-3	-	945	RNA polymerase sigma-70 factor	Transcription initiation, bacterial sigma factors	 	 
fig|1873.144.peg.34	CDS	PH63_1	32278	33243	1	+	966	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) / SUA5 domain with internal deletion	- none -	 	 
fig|1873.144.peg.35	CDS	PH63_1	33369	33788	3	+	420	CBS domain protein	- none -	 	 
fig|1873.144.peg.36	CDS	PH63_1	34685	33882	-2	-	804	hypothetical protein	- none -	 	 
fig|1873.144.peg.37	CDS	PH63_1	39213	34744	-3	-	4470	Probable cation-transporting ATPase I (EC 3.6.3.-)	- none -	 	 
fig|1873.144.peg.38	CDS	PH63_1	39425	39526	2	+	102	hypothetical protein	- none -	 	 
fig|1873.144.peg.39	CDS	PH63_1	39523	40917	1	+	1395	Uncharacterized MFS-type transporter	- none -	 	 
fig|1873.144.peg.40	CDS	PH63_1	41089	41727	1	+	639	hypothetical protein	- none -	 	 
fig|1873.144.peg.41	CDS	PH63_1	41855	42640	2	+	786	hypothetical protein	- none -	 	 
fig|1873.144.peg.42	CDS	PH63_1	42678	42872	3	+	195	hypothetical protein	- none -	 	 
fig|1873.144.peg.43	CDS	PH63_1	43199	42999	-2	-	201	hypothetical protein	- none -	 	 
fig|1873.144.peg.44	CDS	PH63_1	43351	43899	1	+	549	Uncharacterized protein PA2301	- none -	 	 
fig|1873.144.peg.45	CDS	PH63_1	44629	43994	-1	-	636	2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain	- none -	 	 
fig|1873.144.peg.46	CDS	PH63_1	45069	44650	-3	-	420	Sulfur acceptor protein => iron-sulfur cluster assembly SufE	- none -	 	 
fig|1873.144.peg.47	CDS	PH63_1	45578	45153	-2	-	426	Oxidoreductase	- none -	 	 
